                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.5147,                0.29184,                 1.0961,                0.99965,                      1,                  0.995,                0.96233,                0.33607,                0.19844,                0.95438,               0.000713,               0.000713,               0.000713
                     67,                 0.5152,                0.29309,                 1.0928,                0.99885,                      1,                  0.995,                0.94516,                0.35258,                0.20446,                0.96981,              0.0006932,              0.0006932,              0.0006932
                     68,                0.51729,                0.29453,                 1.1028,                0.99963,                      1,                  0.995,                0.95242,                0.33558,                0.19097,                0.95781,              0.0006734,              0.0006734,              0.0006734
                     69,                0.49898,                0.28744,                  1.085,                0.99954,                      1,                  0.995,                0.95378,                0.33977,                0.19783,                 0.9643,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.5192,                0.29177,                 1.1042,                0.99965,                      1,                  0.995,                0.95763,                0.34533,                0.20021,                0.95925,              0.0006338,              0.0006338,              0.0006338
                     71,                0.50276,                0.28679,                 1.0891,                0.99953,                      1,                  0.995,                 0.9537,                0.33579,                0.18811,                0.95328,               0.000614,               0.000614,               0.000614
                     72,                0.50573,                0.28575,                 1.0945,                0.99965,                      1,                  0.995,                0.95568,                 0.3622,                0.19791,                0.98777,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5006,                0.28153,                 1.0912,                0.99964,                      1,                  0.995,                 0.9516,                0.33365,                 0.1865,                0.95304,              0.0005744,              0.0005744,              0.0005744
                     74,                0.49198,                0.27805,                 1.0792,                0.99965,                      1,                  0.995,                0.94978,                 0.3371,                0.19101,                0.96154,              0.0005546,              0.0005546,              0.0005546
                     75,                0.50216,                0.27679,                 1.0881,                0.99363,                      1,                  0.995,                0.95766,                0.32701,                0.18754,                0.94567,              0.0005348,              0.0005348,              0.0005348
                     76,                0.49734,                0.28366,                 1.0857,                0.99965,                      1,                  0.995,                0.96067,                0.33037,                0.18558,                0.94379,               0.000515,               0.000515,               0.000515
                     77,                0.49613,                0.27765,                 1.0883,                0.99952,                      1,                  0.995,                0.95934,                0.32924,                0.18095,                0.94216,              0.0004952,              0.0004952,              0.0004952
                     78,                0.49539,                0.27903,                 1.0809,                0.99964,                      1,                  0.995,                0.95558,                0.33929,                0.18855,                0.95335,              0.0004754,              0.0004754,              0.0004754
                     79,                0.48751,                0.27094,                 1.0825,                0.99945,                      1,                  0.995,                0.95656,                0.33266,                0.18658,                0.94636,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48244,                0.26741,                 1.0806,                0.99964,                      1,                  0.995,                0.96219,                0.32449,                0.17933,                0.93933,              0.0004358,              0.0004358,              0.0004358
                     81,                0.48248,                0.27295,                 1.0765,                0.99963,                      1,                  0.995,                0.96383,                0.32474,                0.17536,                0.94491,               0.000416,               0.000416,               0.000416
                     82,                0.47196,                0.26788,                 1.0747,                0.99963,                      1,                  0.995,                0.95798,                0.33007,                0.17705,                0.95154,              0.0003962,              0.0003962,              0.0003962
                     83,                0.48117,                 0.2716,                 1.0793,                0.99963,                      1,                  0.995,                0.95874,                0.32926,                 0.1831,                 0.9466,              0.0003764,              0.0003764,              0.0003764
                     84,                0.47082,                0.26467,                 1.0699,                0.99965,                      1,                  0.995,                0.96565,                0.31992,                0.17837,                 0.9346,              0.0003566,              0.0003566,              0.0003566
                     85,                0.47874,                0.27124,                  1.081,                0.99964,                      1,                  0.995,                0.96741,                0.31814,                0.17996,                0.93635,              0.0003368,              0.0003368,              0.0003368
                     86,                0.46654,                0.26537,                 1.0703,                0.99963,                      1,                  0.995,                 0.9671,                0.32222,                0.17356,                0.93983,               0.000317,               0.000317,               0.000317
                     87,                0.46692,                0.26576,                 1.0719,                0.99965,                      1,                  0.995,                0.96499,                0.31941,                 0.1707,                0.93835,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45375,                0.25962,                 1.0642,                0.99965,                      1,                  0.995,                 0.9672,                0.31807,                0.17169,                0.93984,              0.0002774,              0.0002774,              0.0002774
                     89,                0.45378,                0.25366,                 1.0623,                0.99963,                      1,                  0.995,                0.96253,                0.32061,                0.17124,                 0.9386,              0.0002576,              0.0002576,              0.0002576
                     90,                0.45862,                0.26005,                 1.0685,                0.99963,                      1,                  0.995,                0.96664,                0.30883,                 0.1674,                0.93113,              0.0002378,              0.0002378,              0.0002378
                     91,                0.23572,                 0.1598,                0.89832,                0.99956,                      1,                  0.995,                0.96194,                0.31081,                 0.1745,                 0.9311,               0.000218,               0.000218,               0.000218
                     92,                0.23041,                0.15459,                0.89155,                 0.9996,                      1,                  0.995,                0.96252,                0.30923,                0.17127,                0.92835,              0.0001982,              0.0001982,              0.0001982
                     93,                0.22534,                0.14878,                0.88457,                0.99957,                      1,                  0.995,                0.96118,                0.30647,                0.16863,                0.92832,              0.0001784,              0.0001784,              0.0001784
                     94,                0.21763,                0.14334,                0.88604,                0.99961,                      1,                  0.995,                  0.964,                0.30511,                0.16602,                0.92974,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.2145,                0.14186,                0.87674,                0.99965,                      1,                  0.995,                0.96431,                0.29856,                0.15987,                0.92349,              0.0001388,              0.0001388,              0.0001388
                     96,                0.21184,                0.14133,                0.87878,                0.99966,                      1,                  0.995,                 0.9656,                0.30405,                 0.1613,                0.92646,               0.000119,               0.000119,               0.000119
                     97,                0.20678,                0.13677,                0.87003,                0.99966,                      1,                  0.995,                  0.968,                0.30675,                0.16029,                0.93242,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.21087,                 0.1396,                0.87966,                0.99966,                      1,                  0.995,                0.96873,                0.30322,                0.16052,                0.92722,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.20804,                0.13725,                0.87125,                0.99966,                      1,                  0.995,                   0.97,                0.29905,                0.15961,                0.92715,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.20127,                0.13291,                0.86715,                0.99966,                      1,                  0.995,                0.96865,                0.29991,                0.15688,                0.92581,               3.98e-05,               3.98e-05,               3.98e-05
